Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Skip links implemented,High,Yes,No,"No skip navigation link found. The first focusable element is the logo link. No element with href=""#main"", ""#content"", or ""#maincontent"" exists. No element with ""skip"" in class or text content. Keyboard users must tab through the entire navigation before reaching main content.",No skip link found on https:/develop--dev-abbvie-com--abbvie.aem.page/science/our-people/community-of-science; first focusable element is logo link with no text
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Lighthouse accessibility score >= 90 in Browser Audit Lighthouse panel; zero critical (wcag2a/wcag2aa) accessibility violations reported; all flagged items reviewed and addressed or documented,Critical,Yes,No,"Lighthouse accessibility score is exactly 90 (borderline pass), but 4 wcag-relevant violations found: (1) button-name — buttons without accessible names; (2) heading-order — headings not in sequentially-descending order; (3) valid-lang — lang attributes with invalid values; (4) errors-in-console — fact-card 404 error (cfUtil.js). Score meets minimum threshold but critical violations remain unaddressed.","Lighthouse accessibility score: 90; Failed: button-name, heading-order, valid-lang, errors-in-console; URL: https:/develop--dev-abbvie-com--abbvie.aem.page/science/our-people/community-of-science"
Security,Security Standards,Security - Client-Side Code,Scripts,Browser Audit,No inline scripts without nonce/hash (CSP compliant),Critical,Yes,No,"5 inline scripts found with no nonce or hash attributes. Scripts include GTM loader, jQuery fallback, dataLayer push, and jQuery-dependent link-tracking scripts. No Content-Security-Policy meta tag present. Without CSP headers (to be verified server-side) or nonces/hashes on inline scripts, XSS injection would execute in page context.","5 inline scripts without nonce/hash: GTM (w,d,s,l,i pattern), jQuery CDN fallback, dataLayer.push, 2x jQuery analytics scripts; no CSP meta tag found"
Security,Security Standards,Security - Forms & Input,Input,Browser Audit,Form actions use HTTPS only,Critical,Yes,Yes,"One form found on page (search form). Action URL uses HTTPS: https://develop--dev-abbvie-com--abbvie.aem.page/search-results. Method is GET, appropriate for search.","Form action: https:/develop--dev-abbvie-com--abbvie.aem.page/search-results (HTTPS, GET method)"
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Lazy loading for below-the-fold images,High,Yes,Yes,"13 of 22 images use native loading=""lazy"". The 9 non-lazy images include the hero image (above fold — correct to not lazy-load) and social media icons in the footer. EDS createOptimizedPicture() applies lazy loading to content images correctly. Footer icons and hero image being eager-loaded is acceptable.","13/22 images with loading=lazy; 9 eager: hero image (above fold) + 5 footer social icons (small, acceptable); no below-fold images loading eagerly detected"
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,CSS delivery optimized,High,Yes,Yes,"CSS is loaded via EDS's dynamic block-level loading — 19 stylesheets loaded progressively as blocks are decorated, which is the EDS pattern. Core styles (tokens.css, styles.css) load first. Block CSS is fetched on-demand. Scripts use type=module (deferred by default) or async. GTM scripts are async. No render-blocking CSS/JS patterns detected. This is standard EDS delivery optimization.",19 stylesheets via EDS dynamic loading; aem.js/scripts.js are type=module (deferred); GTM scripts async=true; jQuery async=true
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Unused JS removed,High,Yes,Yes,"EDS loads block JS modules on-demand only for blocks present on the page. Only 5 external scripts loaded: 2 GTM, aem.js, scripts.js, and jQuery (loaded asynchronously as fallback). No large unused JS bundles detected. jQuery is loaded as a fallback for legacy tracking scripts — a potential optimization candidate but not critical unused JS.","5 scripts loaded: GTM×2, aem.js, scripts.js, jQuery (async fallback); EDS on-demand block loading prevents unused module loading"
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,Yes,"Meta description present, 143 characters (within 50-160 range), meaningful content describing the page — not a placeholder value.","meta[name=description]: ""AbbVie's Community of Science connects scientists worldwide..."" — 143 chars"
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,Yes,Favicon present at /favicon.ico. Apple touch icon not present — acceptable for a non-PWA corporate site.,link[rel=icon]: https:/develop--dev-abbvie-com--abbvie.aem.page/favicon.ico; no apple-touch-icon
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,Yes,"Single canonical URL present, absolute URL pointing to production domain (www-d1.abbvie.com) — correct for a staging/preview URL to canonicalize to prod. No duplicate canonical tags.","link[rel=canonical]: https:/www-d1.abbvie.com/science/our-people/community-of-science — 1 canonical, absolute URL"
