Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,Yes,"blocks/: 55 div/span vs 39 semantic creates (~59% generic); scripts/: 11 div/span vs 23 semantic. Combined ~51% generic, below 70% threshold.","blocks/, scripts"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Correct heading hierarchy maintained,Critical,Yes,Yes,"Blocks use proper h2/h3/h4 hierarchy. custom-title, carousel, header, teaser all query for existing headings and preserve them rather than re-creating levels. No h1 created programmatically inside blocks.","blocks/custom-title/custom-title.js:11, blocks/brightcove-video/brightcove-video.js:943, blocks/pipeline-utility-nav/pipeline-utility-nav.js:179"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Single h1 per page where applicable,High,Yes,Yes,No block programmatically creates an h1. H1 comes from authored content only. Blocks query heading generically (h1-h6) without injecting additional h1 elements.,blocks/ (no createElement('h1') found)
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,No,"story-card.css uses flex-direction: column-reverse (lines 63, 680) and row-reverse (line 945) which reverses visual order relative to DOM. No positive tabindex values found; tabindex usage is correctly -1/0 only.","blocks/story-card/story-card.css:63, blocks/story-card/story-card.css:680, blocks/story-card/story-card.css:945"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,Yes,"Content headings/text come from authored HTML, not JS injection. JS-only style.display='none' is limited to UI controls (pagination, error msgs, loaders) not main content. breadcrumb hides block conditionally (expected behaviour for empty breadcrumb). eds-form visibility:hidden is a temporary state during load.","blocks/breadcrumb/breadcrumb.js:256, blocks/eds-form/eds-form.js:779"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Avoid excessive DOM depth,Medium,No,Yes,"151 total appendChild calls across all blocks. Largest blocks (linklist, story-card, pipeline-utility-nav) each have ~27-42 DOM mutations — typical for complex components. No evidence of pathological nesting patterns.",blocks/ (151 total appendChild calls)
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,Yes,Both form blocks (form/form-fields.js and eds-form/eds-form.js) create fieldset with legend for radio/checkbox groups. eds-form.js:141 explicitly wraps radio/checkbox options in a fieldset with a legend.,"blocks/form/form-fields.js:163-169, blocks/eds-form/eds-form.js:141-158"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,All inputs have associated labels,Critical,Yes,Yes,form/form-fields.js creates labels with for= attribute linked to input IDs and uses aria-labelledby. eds-form/eds-form.js uses buildLabel() which sets for= on all inputs. Radio/checkbox options each get individual labels wrapping the input.,"blocks/form/form-fields.js:23-30, blocks/eds-form/eds-form.js:48-53"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Placeholder not used as label,High,Yes,Yes,form/form-fields.js sets placeholder as supplementary (fd.Placeholder) alongside a proper label (fd.Label || fd.Name). Labels are always created separately with for= attribute. No instance of placeholder replacing label found.,blocks/form/form-fields.js:23-37
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,No,"Error messages (.field-error) are not linked to inputs via aria-describedby or aria-errormessage. eds-form.js:687 only sets aria-describedby for help text, not errors. Error containers lack role='alert' or aria-live='assertive'. aria-invalid is set on invalid fields (line 541) but error text is not programmatically associated.","blocks/eds-form/eds-form.js:679-687, blocks/form/form.js (no aria-describedby for errors)"
