Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,No,No tooling or CI enforces a semantic-vs-(div/span) ratio or a 70% generic-container threshold. package.json only lints JS/CSS; no HTML semantic metrics script or rule found.,package.json
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Correct heading hierarchy maintained,Critical,Yes,No,"Headings appear in block JS templates, but there is no ESLint/HTML rule or script that validates document heading order or skipped levels. Composition from multiple blocks can break hierarchy without detection.",package.json
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Single h1 per page where applicable,High,Yes,No,Only product-listing.js defines an h1 among blocks; demos have separate h1. There is no build-time or runtime check ensuring a composed page has exactly one h1—additional blocks or authored fragments could add more.,blocks/product-listing/product-listing.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,No,"No positive tabindex values found (only 0/-1). However flex `order` is used in blocks (e.g. help-me-choose, product-compare, columns) which can decouple visual order from DOM/tab order; no tooling verifies they stay aligned.",blocks/help-me-choose/help-me-choose.css
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,No,Edge Delivery blocks render substantial markup via innerHTML/template literals after loadBlock; hero and product UIs are not present as complete authored HTML in repo. Critical page content depends on JS execution.,blocks/product-matches/product-matches.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Avoid excessive DOM depth,Medium,No,No,No static analysis or CI enforces maximum DOM depth; block templates include deeply nested div structures without an automated depth gate.,blocks/product-comparison/product-comparison.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,No,No fieldset/legend usage found in block JS templates; radio/checkbox groups rely on div layouts without programmatic fieldset grouping.,blocks/ (rg fieldset|legend)
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,All inputs have associated labels,Critical,Yes,Yes,"Reviewed representative inputs in product-sidebar, help-me-choose, product-preview, product-matches, product-card, footer: each uses paired <label for> and/or aria-label on the control.",blocks/product-sidebar/product-sidebar.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Placeholder not used as label,High,Yes,Yes,Inputs with placeholders also have visible/screen-reader labels or aria-label (e.g. product-search; newsletter fields use explicit <label for>).,blocks/product-sidebar/product-sidebar.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,No,"aria-describedby appears for tooltips, not form validation. No consistent pattern of aria-errormessage/role=alert/aria-live assertive tied to invalid inputs; client-side validation messaging not implemented to WCAG form-error pattern in reviewed blocks.",blocks/product-card/product-card.js
Development,Code Quality & Standards,HTML Forms & Inputs,Forms,Code Audit,Avoid inline styles,Medium,No,No,"Multiple components inject inline style attributes (e.g. help-me-choose carousel items, header cart link, product-comparison wrappers, dynamic color swatches, our-advantages placeholder).",blocks/product-comparison/product-comparison.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Accessible names for interactive elements,Critical,Yes,Yes,"Interactive controls reviewed (buttons, links, custom roles) generally include visible text, aria-label, or aria-labelledby; icon-only patterns pair aria-hidden icons with labeled parents.",blocks/product-card/product-card.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,No,"product-compare renders product thumbnails with alt="""" while images convey product identity (should carry meaningful alt). Decorative arrow uses empty alt in featured-news (acceptable). Hero paths use dynamic alt in other blocks but compare slot violates non-empty alt rule for meaningful imagery.",blocks/product-compare/product-compare.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,No,"Alts are mostly dynamic product titles from APIs; no static checks prevent filenames, duplicate adjacent link text, or enforce 5–125 character bounds. product-compare uses empty alt for product images.",blocks/product-compare/product-compare.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Tables use thead and tbody,High,Yes,Yes,FPS comparison tables in product-card and product-matches include explicit <thead> and <tbody> sections.,blocks/product-card/product-card.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Table headers use th,High,Yes,Yes,"Table header cells use <th scope=""col""> / <th scope=""row""> in FPS tables.",blocks/product-card/product-card.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Lists,Code Audit,Lists use ul or ol correctly,High,Yes,No,"Many specs use native <ul>/<li>. Some UI uses div containers with role=""list"" (e.g. applied filters) instead of semantic <ul>, so list markup is not consistently native.",blocks/product-sidebar/product-sidebar.js
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Code Audit,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,No,"head.html SEO script reads jcr:title for OpenGraph/Twitter/JSON-LD but never assigns document.title or injects a <title> element; repo head fragment lacks a static title tag, so HTML title consistency cannot be verified or enforced here.",head.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta viewport configured correctly,High,Yes,Yes,"head.html declares <meta name=""viewport"" content=""width=device-width, initial-scale=1"" /> without user-scalable=no or maximum-scale restrictions.",head.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,IDs,Code Audit,No duplicate IDs,Critical,Yes,No,No static analysis ensures globally unique ids; multiple blocks reuse generic ids such as budget-min-value/budget-max-value and compare-${sku} patterns that could collide if multiple instances mount.,blocks/help-me-choose/help-me-choose.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Validation,Code Audit,No invalid HTML nesting,Critical,Yes,No,No HTML validation step in npm scripts/CI; templates are string-built in JS without an automated nesting checker (e.g. vnu/html-validate).,package.json
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Validation,Code Audit,HTML validates without errors,Critical,Yes,No,No HTML validator integrated into the project scripts; no evidence of error-free W3C validation for generated markup.,package.json
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,ARIA roles do not duplicate native semantics,High,Yes,No,"At least one control uses <button> with role=""link"", mixing native button semantics with link role; this pattern is discouraged and can confuse assistive tech vs a real anchor.",blocks/product-card/product-card.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,Avoid misuse of ARIA roles,High,Yes,No,"Non-standard patterns found (e.g., <button role=""link"">, interactive divs with role button) without consistent keyboard semantics review; no lint rule prevents ARIA misuse.",blocks/product-card/product-card.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,ARIA,Code Audit,ARIA used only when necessary,Medium,No,No,"Redundant ARIA appears on native list elements (e.g., <ul role=""list""> in header cart) where the native semantics already convey role.",blocks/header/header.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta tags do not block zoom,Medium,No,Yes,"Viewport meta uses width=device-width, initial-scale=1 without maximum-scale or user-scalable restrictions that would block zoom.",head.html
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Links,Code Audit,No broken links (run broken-link-checker or linkinator CLI against local build or source HTML),High,Yes,No,"package.json has no broken-link-checker, linkinator, or similar link audit script; no CI step scans links in source.",package.json
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for all colors,Critical,Yes,No,"Global tokens are defined under :root in styles/styles.css (--color-* etc.), but multiple block stylesheets still use raw hex for colors (e.g. article-card, product-comparison, hero-banner, product-preview) instead of var() only.",blocks/article-card/article-card.css
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for spacing scale,High,Yes,No,":root defines --spacing-0 through --spacing-64 in styles/styles.css and many rules use var(--spacing-*), but numerous block CSS files still use literal rem/px for padding, margin, and gap (e.g. 1.5rem, 44px, 2px) instead of the spacing token scale throughout.",blocks/tabs/tabs.css
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for typography scale,High,Yes,No,"styles/styles.css defines a typography token scale (--text-xxs through --text-5xl with matching line-height vars), but many block stylesheets set font-size with raw rem/px (e.g. 1.875rem, 13px, 12px) instead of var(--text-*) consistently; global heading rules in styles.css also use literal rem sizes.",blocks/article-card/article-card.css
Development,Code Quality & Standards,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded hex/rgb color values,Critical,Yes,No,"Multiple CSS files contain hardcoded hex colors for properties (not only inside token definitions), e.g. article-card backgrounds, hero-banner #000, product-preview text colors.",blocks/hero-banner/hero-banner.css
