Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Skip links implemented,High,Yes,Yes,"Skip link: ""Skip to main content""",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Lighthouse accessibility score >= 90 in Browser Audit Lighthouse panel; zero critical (wcag2a/wcag2aa) accessibility violations reported; all flagged items reviewed and addressed or documented,Critical,Yes,Yes,Accessibility score: 95,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - Client-Side Code,Scripts,Browser Audit,No inline scripts without nonce/hash (CSP compliant),Critical,Yes,No,2 inline script(s); CSP missing,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Security,Security Standards,Security - Forms & Input,Input,Browser Audit,Form actions use HTTPS only,Critical,Yes,Yes,All form actions HTTPS or empty,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Lazy loading for below-the-fold images,High,Yes,Yes,28/31 lazy; 2 below-fold without lazy,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,CSS delivery optimized,High,Yes,Yes,Render-blocking audit: 100,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Unused JS removed,High,Yes,Yes,Unused JS audit: 50,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,No,"Meta description length 0: """"",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,Yes,Favicon: true; apple-touch: false,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,Yes,Canonical count 1; href https://audit-test--mobility-global--global-mobility.aem.live/en-us/home,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Alternate language annotations (hreflang) present for multilingual sites; each hreflang is valid BCP 47 tag; x-default fallback present,Medium,No,No,No hreflang tags,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Browser Audit,CSS <link> and <style> tags appear before <script> tags in <head> section; no JavaScript-only <script> inserted before stylesheet <link>,High,Yes,No,"Head order: script, script, script, script, title, link, meta, meta, meta, meta, meta, meta, meta, meta, meta, meta, meta, meta, meta, meta",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Browser Audit,"External links with target=""_blank"" include rel=""noopener noreferrer"" to prevent tab nabbing and referrer leakage",High,Yes,Yes,All secured,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Development,Error Handling & Observability Hooks,HTML Metadata & Validation,Validation,Browser Audit,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,No,404/5xx error pages require separate URL checks; not verified on homepage,https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Webfont files use WOFF2 as primary format with WOFF fallback; @font-face declarations include format() hints matching served file types,High,Yes,No,"Fonts: 6, WOFF2: 0",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse performance score >= 90 on desktop and >= 90 on mobile; run via Browser Audit Lighthouse panel (Audits tab) with device and throttling set appropriately,Critical,Yes,No,"Performance desktop 64, mobile 86",https://audit-test--mobility-global--global-mobility.aem.live/en-us/home
