Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Skip links implemented,High,Yes,No,No skip-to-main (or similar) link found among first focusable links; DOM query for anchor skip/main content patterns returned none.,https://stage-custom-pc.asus.com/us/gaming-dt
Accessibility,WCAG 2.1 AA Compliance,Accessibility - WCAG Core,WCAG Core,Browser Audit,Lighthouse accessibility score >= 90 in Browser Audit Lighthouse panel; zero critical (wcag2a/wcag2aa) accessibility violations reported; all flagged items reviewed and addressed or documented,Critical,Yes,No,Lighthouse accessibility 95 (>=90) but failed audits remain: aria-allowed-attr (wcag2a/critical) and label-content-name-mismatch (wcag21a). Not zero critical WCAG violations.,.ui-audit/lh-temp/report.json
Security,Security Standards,Security - Client-Side Code,Scripts,Browser Audit,No inline scripts without nonce/hash (CSP compliant),Critical,Yes,No,"Multiple inline <script> blocks in document without nonce/hash attributes (including module, JSON-LD, GTM snippets).",https://stage-custom-pc.asus.com/us/gaming-dt
Security,Security Standards,Security - Forms & Input,Input,Browser Audit,Form actions use HTTPS only,Critical,Yes,Yes,All forms use relative actions (/us/... or default POST to same HTTPS origin); no http:// action URLs.,https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Lazy loading for below-the-fold images,High,Yes,Yes,"18/29 <img> use loading=""lazy""; eager used on header logos and hero imagery appropriate for LCP. Remaining non-lazy images appear above-the-fold or decorative.",https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,CSS delivery optimized,High,Yes,No,Many render-blocking stylesheet link tags (~14) including third-party Swiper CSS; no clear critical/non-critical split or async pattern observed in DOM.,https://stage-custom-pc.asus.com/us/gaming-dt
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Unused JS removed,High,Yes,No,"Heavy third-party JS (GTM, Adobe Launch, YouTube iframe API) loaded on landing page; Lighthouse run available did not expose unused-bytes audit—by inspection large tag-manager stacks remain.",https://stage-custom-pc.asus.com/us/gaming-dt
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,No,Meta description present but 167 characters (exceeds 50–160 guideline).,https://stage-custom-pc.asus.com/us/gaming-dt
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,No,"No <link rel=""icon""> or apple-touch-icon in document head (only canonical and stylesheets); browser may still fetch /favicon.ico implicitly.",https://stage-custom-pc.asus.com/us/gaming-dt
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,Yes,Single canonical link with absolute HTTPS URL matching page.,https://stage-custom-pc.asus.com/us/gaming-dt
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Browser Audit,Alternate language annotations (hreflang) present for multilingual sites; each hreflang is valid BCP 47 tag; x-default fallback present,Medium,No,Yes,No hreflang alternates in head; page targets single /us/ locale without alternate language URLs—hreflang set not required for this page type.,https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Browser Audit,CSS <link> and <style> tags appear before <script> tags in <head> section; no JavaScript-only <script> inserted before stylesheet <link>,High,Yes,No,Head ordering: first script node index precedes final stylesheet link (scripts interleaved with/after CSS). Requirement is all CSS before scripts.,https://stage-custom-pc.asus.com/us/gaming-dt
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Browser Audit,"External links with target=""_blank"" include rel=""noopener noreferrer"" to prevent tab nabbing and referrer leakage",High,Yes,No,"12+ anchor tags with target=_blank lack rel containing both noopener and noreferrer (e.g. news cards, social footer links).",https://stage-custom-pc.asus.com/us/gaming-dt
Development,Error Handling & Observability Hooks,HTML Metadata & Validation,Validation,Browser Audit,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,Yes,"404 path shows branded layout (header/footer), message, and ""Go to Home"" to /us/gaming-dt. Server 5xx error page not triggered in this audit.",https://stage-custom-pc.asus.com/us/gaming-dt/this-page-should-404-audit-test
Performance,Image & Asset Optimization Checks,Performance - Asset & Delivery,Assets,Browser Audit,Webfont files use WOFF2 as primary format with WOFF fallback; @font-face declarations include format() hints matching served file types,High,Yes,No,"@font-face rules use WOFF2 URLs with format(""woff2"") hints; no WOFF fallback src line present in fonts.css.",https://stage-custom-pc.asus.com/styles/fonts.css
Performance,Lighthouse / PSI Validation,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse performance score >= 90 on desktop and >= 90 on mobile; run via Browser Audit Lighthouse panel (Audits tab) with device and throttling set appropriately,Critical,Yes,No,Chrome DevTools Lighthouse MCP output omits Performance category score; cannot read desktop/mobile >=90 from Audits panel via automation.,https://stage-custom-pc.asus.com/us/gaming-dt
