Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,No,"EDS block model and heavy createElement('div') usage (90+ files, 500+ div wrappers) dominate over semantic elements; authored page HTML is table-to-div structure. Repo source tag ratio ~43% div but runtime pages exceed 70% generic containers.","blocks\header\header.js, blocks\overview\overview.js, scripts\aem.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Correct heading hierarchy maintained,Critical,Yes,No,"No site-wide heading hierarchy validation; blocks manipulate headings independently (hero normalizes to h1, location injects h4, tabs strip heading semantics). Authors control levels via content with no skip-level checks.","blocks\hero\hero.js, blocks\location\location.js, blocks\tabs\tabs.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Semantics,Code Audit,Single h1 per page where applicable,High,Yes,No,"Multiple blocks programmatically create h1 (hero, hero-homepage, overview, media-module); no guard prevents multiple h1 on one page when several blocks are authored.","blocks\hero\hero.js, blocks\overview\overview.js, blocks\media-module\media-module.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,No,tabindex=0 applied to non-interactive header dropdown/heading elements; flex-direction:row-reverse used in styles.css and header.css which can invert visual vs DOM tab order.,"blocks\header\header.js, blocks\header\header.css, styles\styles.css"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,No,EDS loads page markup via fetch/fragment JS; body hidden until .appear class; blocks restructure DOM and move content via innerHTML. Critical text not guaranteed in initial HTML source.,"scripts\aem.js, blocks\fragment\fragment.js, styles\styles.css"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Semantics & Structure,Structure,Code Audit,Avoid excessive DOM depth,Medium,No,No,"Complex blocks (overview, header, contact-details) nest many wrapper divs via createElement chains, exceeding reasonable depth for EDS table-to-div structure.","blocks\overview\overview.js, blocks\header\header.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,Yes,Adaptive Form blocks wrap radio/checkbox groups in fieldset with legend; wizard/accordion panels use nested fieldsets per form.css and form.js.,"blocks\form\form.js, blocks\form\form.css"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,All inputs have associated labels,Critical,Yes,Yes,Form util createLabel() generates label/legend elements with for/id association for inputs in blocks/form.,blocks\form\util.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Placeholder not used as label,High,Yes,No,Form models and util.js set placeholder attribute on inputs; placeholders can supplement but are not prevented from substituting visible labels.,"blocks\form\util.js, blocks\form\models\form-common\_basic-input-placeholder-fields.json"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,No,"Only aria-describedby used for field descriptions; no aria-errormessage, role=alert, or aria-live=assertive found for validation error containers.",blocks\form\form.js
Development,Code Quality & Standards,HTML Forms & Inputs,Forms,Code Audit,Avoid inline styles,Medium,No,No,"Inline style attributes used in embed.js, video.js for iframe wrappers; 404.html includes inline <style> block.","blocks\embed\embed.js, blocks\video\video.js, 404.html"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Forms & Inputs,Forms,Code Audit,Accessible names for interactive elements,Critical,Yes,Yes,Forms use explicit labels; modal close/search/carousel controls set aria-label; header navigation buttons include accessible names.,"blocks\modal\modal.js, blocks\form\util.js, blocks\header\header.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,No,No automated validation of decorative vs informative alt in block code; alt depends on authored content without runtime checks for empty/generic alt on hero images.,"blocks\footer\footer.js, blocks\insights-card\insights-card.js"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Images,Code Audit,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,No,"No code-level alt quality rules (length, generic terms, filename patterns); authoring-only with no lint or runtime validation.",blocks\footer\footer.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Tables use thead and tbody,High,Yes,Yes,Table block builds semantic table with thead and tbody elements from block rows.,blocks\table\table.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Tables,Code Audit,Table headers use th,High,Yes,Yes,First row cells rendered as th with scope=column when header row enabled.,blocks\table\table.js
Development,HTML/CSS/JS Implementation (HTML-first),HTML Media & Data,Lists,Code Audit,Lists use ul or ol correctly,High,Yes,Yes,Default content and blocks preserve ul/ol from authored markup; form wizard uses ol for steps.,blocks\form\components\wizard\wizard.js
Development,Technical SEO Implementation (meta/schema/sitemap),HTML Metadata & Validation,Metadata,Code Audit,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,No,"Page titles are AEM-authored metadata not present in static repo; only 404.html has local title, no site-wide title pattern enforcement in code.","404.html, head.html"
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,Metadata,Code Audit,Meta viewport configured correctly,High,Yes,Yes,Viewport meta width=device-width initial-scale=1 in head.html and 404.html.,head.html
Development,HTML/CSS/JS Implementation (HTML-first),HTML Metadata & Validation,IDs,Code Audit,No duplicate IDs,Critical,Yes,No,Form fields generate dynamic IDs at runtime; no static analysis or runtime guard against duplicate IDs across blocks on a page.,blocks\form\util.js
