Phase,Category,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments
Discovery,Business Objectives & KPIs,Business Objectives,Objectives,Manual,Define business objectives / success metrics (KPIs) and SEO / organic traffic goals,High,Yes,,
Discovery,Business Objectives & KPIs,Business Objectives,Objectives,Manual,Document target audience and user personas,Medium,Yes,,
Discovery,Solution Architecture & System Context,CDN & Repository,Infrastructure,Manual,"Identify CDN provider (Fastly, Cloudflare, Akamai, CloudFront); confirm GitHub repository setup and caching strategy",High,Yes,,
Discovery,"EDS Requirements (Blocks, Routing/Page Model, Authoring Workflow, Content Sources, Query Index)",EDS Authoring & Content,Content,Manual,"Define author roles, content sources (DA/UE), approval workflow, and preview requirements",High,Yes,,
Discovery,"EDS Requirements (Blocks, Routing/Page Model, Authoring Workflow, Content Sources, Query Index)",EDS Block & Content Structure,Blocks,Manual,"Identify required and custom blocks; define block performance requirements, variants, and content structure",High,Yes,,
Discovery,Integration & MarTech Requirements,Integration Requirements,Integrations,Manual,"Define all integration requirements: analytics tool, API authentication standards, CRM, commerce engine, A/B testing, and MarTech",High,Yes,,
Discovery,"Non-Functional Requirements (Performance, Security, Accessibility)",Non-Functional Requirements,NFRs,Manual,"Define NFRs: Lighthouse 100 performance target, WCAG conformance level, security / compliance, scalability, availability, and browser / device support",High,Yes,,
Discovery,"SEO, Analytics & Consent Requirements",Routing & Localization,Routing,Manual,"Define URL structure, routing patterns, redirect requirements, sitemap, localization workflow, and canonical URL hierarchy",High,Yes,,
Design,High-Level / Low-Level Design (HLD/LLD),High-Level Design (HLD),HLD,Manual,"Document HLD: No framework, build-less delivery, no SPA assumptions, navigation and global layout strategy",High,Yes,,
Design,EDS Architecture Design (Blocks/Fragments/SSG),Block & Fragment Design,Blocks,Manual,"Design block structure, loading strategy (eager vs lazy), decoration patterns, and fragment organization and naming conventions",High,Yes,,
Design,"Performance-by-Design (CWV, Lighthouse)",Performance Design,Performance,Manual,"Define performance goals: Core Web Vitals targets (LCP / CLS / TTFB), critical CSS strategy, image optimization, and above-the-fold priority",High,Yes,,
Design,Reusability & Component Strategy,Responsive & Accessibility Design,Responsive,Manual,"Define responsive strategy and breakpoints, ARIA usage philosophy, third-party script isolation, analytics excluded from critical rendering, and accessibility considered at architecture level",High,Yes,,
Design,"Technical SEO Design (URL, metadata, schema)",SEO & Error Strategy,SEO,Manual,"Design metadata / SEO strategy (OpenGraph, Schema.org), define error page strategy, and align URL structure with SEO",High,Yes,,
Setup,CDN & Caching Setup,CDN Setup,CDN,Manual,"Configure CDN: provider, caching rules, SSL / TLS certificates, push invalidation for instant cache purge, and custom HTTP headers",High,Yes,,
Setup,Environment & Repo Setup,Repository & Content Source,Repository,Manual,"Set up GitHub repository with EDS boilerplate, configure fstab.yaml content source mapping, branch protection, and repository settings",High,Yes,,
Setup,"EDS Config (Sidekick, Content Source, Repo, Config)",AEM Sidekick & Content Folder,Sidekick,Manual,Install AEM Sidekick for team; create and share content folder with Adobe (helix@adobe.com); configure Sidekick-to-repository connection and folder permissions,High,Yes,NA,
Setup,CI/CD Pipeline & PR Process,CI/CD Pipeline,CI/CD,Manual,"Set up CI/CD pipeline with automated quality checks (Lighthouse, accessibility), build triggers, deployment automation, and pre-commit hooks (lint + unit tests)",High,Yes,Yes,Sync checks
Setup,Environment & Repo Setup,Environment Setup,Environments,Manual,Set up dev / staging / production environments with parity; establish staging and preview environments; document environment configuration and access; verify Design Token Adherence,High,Yes,,
Setup,CI/CD Pipeline & PR Process,PR Process & Standards,Process,Manual,Define branching strategy; enforce mandatory PR review on main; author merges own PR after approval; aem.js unchanged; establish code review standards,High,Yes,,
